"title","year","age","im_db","rotten_tomatoes","runtime","streaming","main_language"
"Memoir of War",2017,"13+",6.2,6.4,127,"Amazon","Foreign"
"Bad Ass",2012,"18+",5.5,2,90,"Amazon","English"
"Bill Frisell: A Portrait",2017,"18+",7.2,8.8,118,"Amazon","English"
"Promised Land",2012,"18+",6.6,5.2,106,"Netflix","English"
"United 93",2006,"18+",7.5,9,111,"Netflix","English"
"Star Wars: A New Hope",1977,"7+",8.6,9.2,121,"Disney+","English"
"Never Grow Old",2019,"18+",5.9,9,100,"Amazon","English"
"The Wrecking Crew",2008,"7+",7.6,9.4,105,"Hulu","English"
"The Yellow Handkerchief",2009,"13+",6.7,6.6,102,"Multiple","English"
"Joshy",2016,"18+",5.9,8.1,93,"Hulu","English"
"The Descent",2005,"18+",7.2,8.5,99,"Multiple","English"
"Anon",2018,"18+",6.1,3.9,100,"Netflix","English"
"The Aryan Couple",2004,"13+",6.3,1.2,120,"Amazon","English"
"A Private War",2018,"18+",6.7,8.7,110,"Amazon","English"
"The Boys from County Clare",2003,"18+",6.5,4.6,90,"Amazon","English"
"Kill Bill: Vol. 2",2004,"18+",8,8.4,137,"Hulu","English"
"Star Trek III: The Search for Spock",1984,"7+",6.7,8,105,"Multiple","English"
"Good People",2014,"18+",5.5,0.9,90,"Netflix","English"
"The World Is Not Enough",1999,"13+",6.4,5.2,128,"Netflix","English"
"The Graduate",1967,"7+",8,8.6,106,"Hulu","English"
"Mayor of the Sunset Strip",2003,"18+",7,8.7,94,"Amazon","English"
"The Boost",1988,"18+",6.1,3.8,95,"Hulu","English"
"Citizen Duane",2006,"13+",5.1,3.3,90,"Amazon","English"
"Head Games",2012,"13+",7.3,8.8,80,"Amazon","English"
"Wild Bill",1995,"18+",5.9,4.2,98,"Amazon","English"
"Logan Lucky",2017,"13+",7,9.2,118,"Amazon","English"
"Longford",2006,"18+",7.6,10,93,"Amazon","English"
"Electrick Children",2012,"18+",6.8,8.8,96,"Amazon","English"
"Blood Father",2016,"18+",6.4,8.9,88,"Netflix","English"
"Reverb",2007,"13+",3.9,0.9,88,"Amazon","English"
"4 Little Girls",1997,"16+",7.8,10,102,"Amazon","English"
"Air",2015,"13+",5.1,1.7,95,"Amazon","English"
"Seoul Searching",2015,"18+",7.1,7.5,105,"Netflix","English"
"Angels Wear White",2017,"16+",7.2,9.4,107,"Amazon","Foreign"
"Wheelman",2017,"18+",6.4,8.8,82,"Netflix","English"
"Rosebud",1975,"7+",5.1,3.3,126,"Amazon","English"
"Drinking Buddies",2013,"18+",6.1,8.3,90,"Hulu","English"
"The Ladies Man",2000,"18+",5.2,1.1,84,"Amazon","English"
"Grave Encounters 2",2012,"18+",5.1,2,95,"Amazon","English"
"Grave Encounters",2011,"18+",6.1,6.4,92,"Amazon","English"
"How It Ends",2018,"18+",5,1.7,113,"Netflix","English"
"Freestyle",2010,"13+",2.8,2.2,94,"Amazon","English"
"Night Owls",2015,"18+",6.2,10,90,"Amazon","English"
"We Need to Talk About Kevin",2011,"18+",7.5,7.5,112,"Multiple","English"
"The M Word",2014,"18+",6.1,3.8,117,"Amazon","English"
"Ratatouille",2007,"all",8,9.6,111,"Disney+","English"
"Dear Ex",2018,"18+",7.4,8.9,100,"Netflix","Foreign"
"Olaf's Frozen Adventure",2017,"all",5.5,5.7,22,"Disney+","English"
"Middle Men",2009,"18+",6.8,4,105,"Multiple","English"
"The Mask of Zorro",1998,"13+",6.7,8.2,136,"Netflix","English"
"The End of the Tour",2015,"18+",7.3,9.2,106,"Netflix","English"
"Before We Vanish",2017,"18+",6,8,129,"Hulu","Foreign"
"Drunks",1997,"18+",6.4,5.7,90,"Amazon","English"
"Four Sheets to the Wind",2007,"18+",6.3,10,81,"Amazon","English"
"Win It All",2017,"18+",6.2,8.5,88,"Netflix","English"
"The Secret of Roan Inish",1995,"7+",7.5,9.5,103,"Amazon","English"
"Miracle",2004,"7+",7.5,8.1,135,"Multiple","English"
"A-X-L",2018,"13+",5.3,2.7,98,"Netflix","English"
"Nightlight",2015,"18+",4.4,1.4,85,"Amazon","English"
"Lupin the Third: The Castle of Cagliostro",1979,"7+",7.7,9.4,100,"Netflix","Foreign"
"The Interview",2014,"18+",6.5,5.2,112,"Multiple","English"
"Den of Thieves",2018,"18+",7,4.1,140,"Netflix","English"
"The Long Goodbye",1973,"18+",7.6,9.7,112,"Amazon","English"
"Hell or High Water",2016,"18+",7.6,9.7,102,"Netflix","English"
"Heckler",2007,"18+",6.1,6,80,"Amazon","English"
"Boy Wonder",2010,"18+",6.8,5,93,"Amazon","English"
"Chitty Chitty Bang Bang",1968,"all",6.9,6.7,144,"Netflix","English"
"Hostile Border",2015,"18+",5.4,6.7,88,"Amazon","English"
"Because of Winn-Dixie",2005,"7+",6.3,5.5,106,"Disney+","English"
"Siberia",2018,"18+",4.3,1.3,104,"Amazon","English"
"Girl on a Bicycle",2013,"18+",6.2,0.8,101,"Amazon","English"
"American Teacher",2011,"all",6.8,6.7,81,"Amazon","English"
"Gehenna: Where Death Lives",2016,"18+",4.9,5,105,"Amazon","English"
"The Lion King II: Simba's Pride",1998,"all",6.5,6.2,81,"Disney+","English"
"Paranoid Park",2007,"18+",6.7,7.6,85,"Hulu","English"
"Irreplaceable You",2018,"18+",6.4,3.2,96,"Netflix","English"
"While We're Young",2014,"18+",6.3,8.4,97,"Netflix","English"
"Inspector Gadget 2",2003,"all",3.4,4,89,"Disney+","English"
"Cecil B. Demented",2000,"18+",6.3,5.3,87,"Amazon","English"
"Shooting Fish",1997,"7+",6.6,5.7,109,"Amazon","English"
"Aval",2017,"13+",6.8,10,137,"Netflix","Foreign"
"Pan's Labyrinth",2006,"18+",8.2,9.5,118,"Netflix","Foreign"
"New York, I Love You",2008,"18+",6.2,3.7,103,"Amazon","English"
"Nobody's Watching",2017,"18+",6.6,8.9,102,"Amazon","Foreign"
"Society",1989,"18+",6.5,5.5,99,"Amazon","English"
